Player Name,Rounds,Average Score,Total Strokes,Total Adjustment,Total Rounds,Year
Brett Quigley,96,71.082,"6,786",37.824,96,2010
Bob Estes,79,71.086,"5,589",26.792,79,2010
Mark Wilson,87,71.098,"6,145",40.536,87,2010
John Merrick,109,71.102,"7,708",42.122,109,2010
Johnson Wagner,85,71.113,"6,028",16.630,85,2010
Josh Teater,101,71.116,"7,157",25.687,101,2010
Woody Austin,93,71.121,"6,572",42.269,93,2010
Kevin Stadler,86,71.149,"6,085",33.821,86,2010
Richard Johnson,90,71.156,"6,361",43.017,90,2010
Martin Laird,91,71.158,"6,445",30.422,91,2010
Garrett Willis,82,71.159,"5,797",38.020,82,2010
Trevor Immelman,55,71.162,"3,925",- 11.106,55,2010
Tim Herron,79,71.171,"5,602",20.537,79,2010
Lee Janzen,77,71.194,"5,452",29.943,77,2010
Scott Piercy,88,71.196,"6,217",48.211,88,2010
George McNeill,79,71.207,"5,609",16.318,79,2010
Ian Poulter,55,71.211,"3,505",- 15.656,49,2010
Alex Cejka,81,71.219,"5,776",- 7.267,81,2010
Chris Tidland,77,71.255,"5,460",26.608,77,2010
Robert Garrigus,71,71.264,"5,028",31.776,71,2010
John Mallinger,78,71.270,"5,539",20.069,78,2010
James Nitties,92,71.277,"6,516",41.452,92,2010
Jay Williamson,76,71.290,"5,367",51.009,76,2010
Joe Ogilvie,99,71.296,"7,025",33.271,99,2010
Troy Matteson,84,71.310,"5,950",40.031,84,2010
Rocco Mediate,71,71.341,"5,047",18.218,71,2010
Rory Sabbatini,79,71.366,"5,551",15.542,78,2010
Kris Blanks,91,71.371,"6,464",30.725,91,2010
Brian Davis,101,71.376,"7,186",22.940,101,2010
Cameron Beckman,68,71.395,"4,832",22.893,68,2010
Cliff Kresge,50,71.417,"3,552",18.836,50,2010
Nathan Green,86,71.421,"6,130",12.194,86,2010
Billy Mayfair,78,71.426,"5,536",35.198,78,2010
Jeff Maggert,76,71.445,"5,403",26.797,76,2010
Troy Merritt,86,71.486,"6,108",39.767,86,2010
Michael Bradley,77,71.498,"5,443",62.329,77,2010
Rod Pampling,77,71.501,"5,481",24.564,77,2010
Steve Wheatcroft,74,71.530,"5,296",- 2.759,74,2010
Paul Goydos,78,71.532,"5,565",14.508,78,2010
Mike Weir,59,71.571,"4,091",- 11.454,57,2010
Matt Bettencourt,91,71.575,"6,496",17.331,91,2010
Omar Uresti,74,71.579,"5,264",32.817,74,2010
Brian Stuard,81,71.595,"5,771",28.166,81,2010
Cameron Tringale,55,71.598,"3,913",24.869,55,2010
Mathias Grönberg,61,71.614,"4,353",15.473,61,2010
Cameron Percy,73,71.622,"5,183",45.435,73,2010
Skip Kendall,58,71.640,"4,126",29.129,58,2010
Derek Lamely,81,71.666,"5,782",22.967,81,2010
Mathew Goggin,85,71.672,"6,061",31.107,85,2010
David Duval,71,71.688,"5,083",6.820,71,2010
Bill Lunde,79,71.688,"5,638",25.374,79,2010
John Daly,63,71.697,"4,486",30.914,63,2010
Henrik Bjornstad,72,71.722,"5,132",31.991,72,2010
Rich Barcelo,70,71.751,"5,018",4.535,70,2010
Greg Owen,69,71.770,"4,930",22.105,69,2010
Nicholas Thompson,88,71.815,"6,284",35.750,88,2010
Roland Thatcher,72,71.820,"5,149",22.075,72,2010
Ted Purdy,86,71.824,"6,161",15.855,86,2010
Martin Flores,75,71.882,"5,354",37.149,75,2010
Brenden Pappas,66,71.966,"4,701",48.742,66,2010
Roger Tambellini,77,71.969,"5,505",36.590,77,2010
Garth Mulroy,53,72.000,"3,789",26.983,53,2010
Brent Delahoussaye,57,72.032,"4,078",27.847,57,2010
Steve Flesch,78,72.041,"5,586",33.201,78,2010
David Lutterus,69,72.170,"4,966",13.735,69,2010
Daniel Chopra,74,72.194,"5,317",25.390,74,2010
Steve Lowery,67,72.202,"4,815",22.552,67,2010
Andrew McLardy,52,72.217,"3,736",19.267,52,2010
Mark Calcavecchia,50,72.222,"3,605",6.082,50,2010
Craig Bowden,56,72.229,"4,036",8.834,56,2010
Vance Veazey,58,72.323,"4,189",5.736,58,2010
Jeff Gove,57,72.401,"4,098",28.859,57,2010
Jerod Turner,54,72.602,"3,895",25.524,54,2010
Chris Wilson,65,72.682,"4,693",31.300,65,2010
Kevin Johnson,62,72.878,"4,494",24.422,62,2010
Justin Bolli,55,72.881,"3,982",26.460,55,2010
Greg Kraft,52,73.070,"3,782",17.663,52,2010
Brad Faxon,58,73.116,"4,217",23.730,58,2010
