Player Name,Rounds,Average SG Total,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS,Year
Geoff Ogilvy,57,-.649,-27.242,-13.068,-14.174,42,2013
David Toms,49,-.679,-21.737,-9.625,-12.112,32,2013
Mike Weir,60,-.771,-36.243,-49.790,13.544,47,2013
Tommy Gainey,84,-.781,-58.572,-65.253,6.682,75,2013
Lee Williams,62,-.790,-40.310,-18.559,-21.752,51,2013
Will Claxton,67,-.804,-45.023,-5.329,-39.696,56,2013
Rod Pampling,46,-.857,-29.999,-10.261,-19.740,35,2013
Robert Allenby,58,-.859,-44.678,-27.146,-17.531,52,2013
Darron Stiles,51,-.912,-38.286,-20.337,-17.952,42,2013
Johnson Wagner,64,-.946,-49.207,-63.303,14.096,52,2013
Scott Gardiner,61,-.979,-50.905,-33.728,-17.179,52,2013
Sean O'Hair,56,-1.022,-52.116,-37.986,-14.131,51,2013
Alistair Presnell,59,-1.030,-47.367,-46.460,-.909,46,2013
Derek Ernst,58,-1.075,-52.663,-42.093,-10.569,49,2013
David Mathis,71,-1.149,-71.254,-43.464,-27.791,62,2013
Justin Bolli,59,-1.232,-56.671,-58.419,1.744,46,2013
Colt Knost,69,-1.279,-74.164,-99.419,25.252,58,2013
Michael Bradley,56,-1.319,-56.728,-37.362,-19.368,43,2013
Luke List,65,-1.344,-69.882,-56.019,-13.865,52,2013
Bobby Gates,49,-1.398,-53.106,-53.509,.401,38,2013
Eric Meierdierks,48,-1.476,-54.625,-18.452,-36.175,37,2013
Rory McIlroy,60,2.406,96.228,93.891,2.336,40,2012
Tiger Woods,69,2.310,110.894,94.610,16.282,48,2012
Jim Furyk,85,1.752,113.906,86.407,27.493,65,2012
Luke Donald,63,1.641,78.789,39.530,39.258,48,2012
Justin Rose,69,1.640,86.909,93.376,-6.468,53,2012
Bubba Watson,68,1.529,77.959,92.258,-14.301,51,2012
Dustin Johnson,70,1.509,79.962,70.160,9.800,53,2012
Jason Dufner,83,1.446,92.549,82.772,9.777,64,2012
Bo Van Pelt,84,1.437,93.403,58.193,35.208,65,2012
Phil Mickelson,79,1.422,85.332,51.623,33.707,60,2012
Matt Kuchar,86,1.382,91.204,60.052,31.151,66,2012
Steve Stricker,73,1.295,69.922,62.681,7.240,54,2012
Zach Johnson,95,1.197,88.562,46.559,42.000,74,2012
Adam Scott,59,1.164,47.709,53.368,-5.660,41,2012
Webb Simpson,77,1.123,74.110,60.197,13.911,66,2012
Keegan Bradley,90,1.122,79.633,56.183,23.445,71,2012
Sergio Garcia,57,1.104,48.594,30.990,17.601,44,2012
Brendon de Jonge,115,1.083,110.451,95.757,14.688,102,2012
Jonas Blixt,72,1.062,67.956,16.477,51.477,64,2012
Jason Day,57,1.024,48.135,23.389,24.741,47,2012
Brandt Snedeker,81,1.010,65.682,9.779,55.901,65,2012
Ryan Palmer,81,1.003,71.208,39.039,32.168,71,2012
John Senden,81,1.000,61.972,59.534,2.436,62,2012
Robert Garrigus,89,.988,73.107,89.720,-16.613,74,2012
Louis Oosthuizen,65,.976,47.814,48.024,-.212,49,2012
Charl Schwartzel,56,.925,36.981,33.617,3.365,40,2012
Henrik Stenson,51,.915,38.409,33.989,4.416,42,2012
Ben Curtis,62,.906,43.485,19.244,24.238,48,2012
Padraig Harrington,67,.888,39.939,40.853,-.913,45,2012
Jeff Overton,101,.883,81.271,54.307,26.961,92,2012
Davis Love III,64,.867,45.075,41.771,3.299,52,2012
Carl Pettersson,92,.867,69.395,33.897,35.496,80,2012
Scott Piercy,95,.857,73.686,54.649,19.034,86,2012
Ryan Moore,89,.847,68.627,34.309,34.312,81,2012
Lee Westwood,60,.784,31.351,45.725,-14.374,40,2012
Pat Perez,81,.763,52.638,41.627,11.008,69,2012
Vijay Singh,99,.763,61.778,94.513,-32.738,81,2012
Bud Cauley,99,.721,65.568,59.608,5.957,91,2012
Seung-Yul Noh,105,.721,61.308,49.220,12.086,85,2012
Geoff Ogilvy,73,.691,37.991,24.927,13.063,55,2012
Charles Howell III,98,.679,52.307,48.131,4.174,77,2012
Ernie Els,80,.677,44.004,47.284,-3.280,65,2012
Bill Haas,79,.668,40.740,34.430,6.304,61,2012
Ken Duke,104,.654,58.877,27.423,31.447,90,2012
Greg Chalmers,88,.642,48.159,10.222,37.934,75,2012
Matt Every,80,.613,39.221,33.045,6.173,64,2012
Brian Davis,91,.594,46.908,17.691,29.211,79,2012
Roberto Castro,92,.591,44.316,40.729,3.583,75,2012
Ben Crane,73,.591,36.661,9.893,26.762,62,2012
John Huh,99,.564,47.964,33.735,14.226,85,2012
Ian Poulter,57,.564,21.445,17.513,3.932,38,2012
Martin Laird,77,.549,29.624,24.266,5.356,54,2012
Jimmy Walker,101,.547,49.758,10.927,38.829,91,2012
Hunter Mahan,88,.541,34.632,41.629,-7.000,64,2012
Nick Watney,97,.536,40.721,42.819,-2.103,76,2012
Rickie Fowler,84,.518,34.166,47.503,-13.340,66,2012
Will Claxton,99,.512,44.053,58.400,-14.351,86,2012
Jonathan Byrd,69,.506,28.341,13.648,14.686,56,2012
J.B. Holmes,90,.496,38.651,43.104,-4.454,78,2012
Kevin Na,80,.445,28.944,16.365,12.574,65,2012
Kevin Stadler,85,.439,30.744,49.169,-18.428,70,2012
John Rollins,81,.431,30.634,33.035,-2.404,71,2012
Martin Flores,95,.419,34.325,-19.508,53.826,82,2012
Billy Horschel,63,.391,18.772,22.030,-3.258,48,2012
Johnson Wagner,88,.385,29.258,2.967,26.284,76,2012
Kyle Stanley,86,.384,26.907,82.676,-55.770,70,2012
Graeme McDowell,55,.372,14.135,24.838,-10.701,38,2012
Sean O'Hair,84,.368,27.946,49.679,-21.736,76,2012
Trevor Immelman,76,.365,20.800,27.741,-6.943,57,2012
Bob Estes,78,.362,23.521,18.739,4.782,65,2012
Blake Adams,107,.356,31.339,10.927,20.406,88,2012
Cameron Tringale,88,.356,27.393,19.531,7.855,77,2012
Tom Gillis,75,.339,23.374,8.431,14.940,69,2012
Tim Herron,88,.334,25.398,38.584,-13.188,76,2012
Graham DeLaet,79,.322,22.880,42.586,-19.707,71,2012
Bryce Molder,83,.321,22.821,-24.475,47.290,71,2012
Bill Lunde,83,.305,20.424,36.553,-16.132,67,2012
Tim Clark,60,.301,15.048,21.097,-6.049,50,2012
Harris English,98,.299,25.984,10.744,15.234,87,2012
Greg Owen,90,.298,22.947,55.009,-32.064,77,2012
D.A. Points,88,.284,22.740,31.498,-8.759,80,2012
Chad Campbell,84,.283,20.641,51.651,-31.015,73,2012
Charlie Wi,86,.283,20.681,.279,20.398,73,2012
Kevin Streelman,89,.268,20.641,24.779,-4.144,77,2012
Spencer Levin,81,.262,17.262,-4.532,21.790,66,2012
David Hearn,95,.261,22.951,-.057,23.003,88,2012
K.J. Choi,71,.255,14.262,33.538,-19.278,56,2012
J.J. Henry,93,.255,18.105,21.962,-3.859,71,2012
William McGirt,96,.253,19.983,-2.306,22.289,79,2012
Chris Kirk,93,.244,20.737,37.345,-16.611,85,2012
John Mallinger,74,.218,13.763,19.197,-5.437,63,2012
Marc Leishman,84,.212,16.087,41.250,-25.169,76,2012
Brian Harman,101,.199,17.538,5.952,11.582,88,2012
John Merrick,83,.191,13.784,27.705,-13.925,72,2012
David Toms,60,.191,8.397,14.579,-6.185,44,2012
Russell Knox,72,.179,10.011,9.998,.011,56,2012
Richard Lee,71,.179,10.206,-.573,10.775,57,2012
Gary Christian,91,.149,11.173,16.949,-5.779,75,2012
Brian Gay,91,.148,11.513,-43.379,54.888,78,2012
Aaron Baddeley,73,.143,7.865,-25.339,33.197,55,2012
Josh Teater,97,.128,10.635,28.020,-17.388,83,2012
Daniel Summerhays,81,.126,8.534,12.133,-3.600,68,2012
Chris Couch,61,.125,6.734,2.236,4.491,54,2012
Chris Stroud,86,.121,9.106,2.984,6.117,75,2012
Freddie Jacobson,61,.109,4.812,11.194,-6.384,44,2012
Michael Thompson,80,.106,6.880,-16.223,23.097,65,2012
Charley Hoffman,88,.087,6.606,43.107,-36.504,76,2012
Kyle Reifers,86,.058,4.325,2.777,1.544,74,2012
Brandt Jobe,57,.053,2.391,-9.167,11.553,45,2012
Danny Lee,74,.037,2.188,-.181,2.366,59,2012
Jeff Maggert,83,.030,2.370,12.299,-9.933,78,2012
Vaughn Taylor,81,.030,1.888,-.076,1.961,64,2012
George McNeill,85,.013,.890,-16.014,16.899,71,2012
Rory Sabbatini,84,-.014,-.998,25.600,-26.604,72,2012
Rod Pampling,88,-.020,-1.375,9.189,-10.570,69,2012
Garth Mulroy,59,-.031,-1.420,-1.873,.450,46,2012
Heath Slocum,93,-.035,-2.654,38.877,-41.536,75,2012
Ryo Ishikawa,54,-.038,-1.403,-8.655,7.249,37,2012
Chez Reavie,83,-.045,-2.981,10.587,-13.570,66,2012
Troy Matteson,100,-.051,-4.211,-15.519,11.303,83,2012
James Driscoll,83,-.059,-4.132,-34.501,30.362,70,2012
Kris Blanks,65,-.061,-3.669,32.797,-36.469,60,2012
Jerry Kelly,84,-.067,-4.880,.711,-5.595,73,2012
Billy Mayfair,90,-.077,-5.985,10.001,-15.991,78,2012
Kevin Chappell,91,-.081,-5.828,13.021,-18.857,72,2012
Boo Weekley,74,-.082,-4.760,56.419,-61.185,58,2012
Dicky Pride,62,-.090,-4.433,-10.824,6.391,49,2012
Nathan Green,73,-.100,-5.689,-19.855,14.162,57,2012
David Mathis,83,-.105,-7.266,-30.597,23.324,69,2012
Rocco Mediate,70,-.108,-6.276,-5.575,-.702,58,2012
Hunter Haas,69,-.109,-5.654,-6.229,.571,52,2012
Stuart Appleby,75,-.128,-8.352,-18.346,9.991,65,2012
Kevin Kisner,69,-.139,-7.371,-23.426,16.053,53,2012
Y.E. Yang,64,-.146,-7.021,-31.807,24.781,48,2012
Camilo Villegas,79,-.174,-12.666,12.397,-25.070,73,2012
Jason Bohn,81,-.180,-11.912,-9.481,-2.434,66,2012
Ricky Barnes,92,-.203,-16.636,23.366,-40.006,82,2012
Stewart Cink,71,-.228,-12.296,-28.542,16.239,54,2012
Mark Wilson,84,-.245,-16.693,-9.746,-6.952,68,2012
Bobby Gates,87,-.265,-20.153,-.229,-19.929,76,2012
Gavin Coles,72,-.289,-16.496,-50.169,33.670,57,2012
Gary Woodland,70,-.293,-15.540,10.809,-26.356,53,2012
Scott Stallings,78,-.323,-21.982,5.537,-27.522,68,2012
Mathew Goggin,65,-.327,-17.965,-4.644,-13.322,55,2012
Jhonattan Vegas,77,-.387,-26.700,-24.280,-2.424,69,2012
John Daly,50,-.406,-15.444,-22.740,7.294,38,2012
Andres Romero,68,-.409,-22.102,-10.086,-12.024,54,2012
Jason Kokrak,79,-.447,-30.828,-18.119,-12.709,69,2012
J.J. Killeen,101,-.449,-37.702,-28.697,-9.012,84,2012
Ángel Cabrera,54,-.451,-16.681,-8.651,-8.033,37,2012
Robert Karlsson,54,-.469,-19.230,2.532,-21.765,41,2012
Chris DiMarco,83,-.477,-34.338,-26.234,-8.109,72,2012
Charlie Beljan,61,-.485,-20.870,-2.770,-18.102,43,2012
Nick O'Hern,78,-.489,-33.225,-6.560,-26.669,68,2012
Steve Wheatcroft,56,-.506,-21.260,-22.938,1.675,42,2012
Erik Compton,81,-.517,-33.105,-38.972,5.862,64,2012
Tommy Gainey,98,-.517,-46.535,-56.723,10.183,90,2012
Brendan Steele,77,-.517,-33.082,-25.893,-7.199,64,2012
Harrison Frazar,56,-.551,-26.471,-27.599,1.124,48,2012
Matt Jones,53,-.557,-24.507,-20.528,-3.980,44,2012
Scott Dunlap,57,-.600,-27.580,4.073,-31.655,46,2012
Justin Leonard,79,-.615,-41.831,-19.736,-22.100,68,2012
Robert Allenby,76,-.626,-41.341,-13.091,-28.255,66,2012
Arjun Atwal,79,-.660,-43.529,-29.209,-14.324,66,2012
Daniel Chopra,55,-.679,-29.196,-43.429,14.231,43,2012
Cameron Beckman,81,-.689,-47.529,-23.179,-24.355,69,2012
Troy Kelly,68,-.692,-35.291,-37.822,2.529,51,2012
D.J. Trahan,73,-.726,-44.986,-9.090,-35.901,62,2012
Scott Brown,65,-.771,-39.312,-15.463,-23.853,51,2012
"Ted Potter, Jr.",77,-.823,-50.226,-54.654,4.427,61,2012
Alexandre Rocha,62,-.856,-42.782,-31.202,-11.584,50,2012
Mark Anderson,75,-.875,-53.355,-45.263,-8.095,61,2012
Stephen Ames,54,-.906,-35.337,-25.404,-9.934,39,2012
Ryuji Imada,78,-.910,-62.814,-87.062,24.242,69,2012
Michael Bradley,63,-.954,-52.465,-42.095,-10.374,55,2012
Colt Knost,79,-.981,-65.752,-78.062,12.305,67,2012
Derek Lamely,64,-1.035,-57.966,-93.591,35.620,56,2012
Sangmoon Bae,81,-1.053,-60.020,-67.312,7.288,57,2012
Edward Loar,59,-1.118,-48.070,-54.291,6.217,43,2012
Tom Pernice Jr.,62,-1.127,-58.579,-42.068,-16.513,52,2012
Roland Thatcher,55,-1.158,-50.947,-28.328,-22.622,44,2012
Miguel Angel Carballo,73,-1.170,-66.709,-49.957,-16.753,57,2012
Brendon Todd,78,-1.190,-74.979,-101.873,26.891,63,2012
Marco Dawson,60,-1.215,-55.877,-45.092,-10.788,46,2012
Tommy Biershenk,74,-1.227,-71.177,-84.152,12.972,58,2012
Patrick Sheehan,58,-1.261,-55.502,-48.968,-6.535,44,2012
Matt Bettencourt,80,-1.262,-75.718,-63.649,-12.073,60,2012
Billy Hurley III,70,-1.324,-75.469,-91.197,15.721,57,2012
Kyle Thompson,51,-1.398,-51.739,-6.991,-44.749,37,2012
Sung Kang,75,-1.761,-109.179,-112.322,3.134,62,2012
Stephen Gangluff,57,-1.959,-84.244,-73.809,-10.437,43,2012
Luke Donald,73,2.278,118.431,73.206,45.224,52,2011
Webb Simpson,98,1.764,146.376,123.865,22.508,83,2011
Steve Stricker,70,1.730,91.680,50.346,41.332,53,2011
Nick Watney,80,1.712,106.128,72.245,33.880,62,2011
Matt Kuchar,94,1.540,109.342,82.433,26.909,71,2011
David Toms,78,1.282,75.614,49.309,26.301,59,2011
Charles Howell III,108,1.239,112.761,78.219,34.538,91,2011
Hunter Mahan,92,1.218,92.591,52.528,40.062,76,2011
Phil Mickelson,79,1.182,68.564,79.606,-11.042,58,2011
Aaron Baddeley,77,1.148,71.152,51.070,20.080,62,2011
Brandt Snedeker,85,1.094,73.318,33.953,39.363,67,2011
K.J. Choi,77,1.079,62.556,53.091,9.462,58,2011
Gary Woodland,93,1.041,72.852,80.990,-8.139,70,2011
Zach Johnson,79,1.033,66.114,28.962,37.148,64,2011
Martin Laird,77,.996,61.744,51.785,9.959,62,2011
Sergio Garcia,61,.984,44.262,49.622,-5.361,45,2011
Justin Rose,79,.984,62.014,59.035,2.977,63,2011
Jason Day,76,.976,57.563,23.582,33.978,59,2011
John Senden,94,.967,78.331,53.882,24.446,81,2011
Charl Schwartzel,58,.950,37.994,35.901,2.092,40,2011
Kevin Streelman,90,.934,66.314,41.071,25.244,71,2011
Rickie Fowler,84,.917,60.496,37.338,23.157,66,2011
Bill Haas,93,.916,65.974,54.127,11.846,72,2011
Freddie Jacobson,92,.904,63.270,19.245,44.023,70,2011
Bo Van Pelt,92,.867,61.587,73.437,-11.849,71,2011
J.B. Holmes,57,.847,39.823,42.848,-3.025,47,2011
Spencer Levin,113,.846,79.506,75.766,3.736,94,2011
Ryan Moore,79,.827,49.646,16.674,32.970,60,2011
Robert Allenby,84,.818,57.236,69.349,-12.114,70,2011
Kevin Na,84,.770,52.392,8.221,44.170,68,2011
Carl Pettersson,95,.770,69.286,25.592,43.690,90,2011
Brian Gay,90,.737,54.527,13.383,41.143,74,2011
Geoff Ogilvy,69,.722,38.992,11.067,27.923,54,2011
Rory Sabbatini,85,.719,43.868,68.463,-24.597,61,2011
Jason Dufner,78,.717,46.575,54.113,-7.542,65,2011
Robert Karlsson,61,.678,30.513,27.559,2.954,45,2011
John Rollins,85,.671,48.337,55.629,-7.297,72,2011
Stewart Cink,72,.670,34.827,26.030,8.797,52,2011
Jerry Kelly,85,.667,45.380,27.881,17.496,68,2011
Kyle Stanley,98,.665,53.205,93.676,-40.470,80,2011
Jim Furyk,87,.655,45.866,57.095,-11.231,70,2011
Bryce Molder,82,.653,46.398,-8.269,54.667,71,2011
Adam Scott,60,.635,28.576,39.697,-11.119,45,2011
Brian Davis,105,.605,55.629,58.871,-3.242,92,2011
Vijay Singh,79,.600,43.166,52.577,-9.414,72,2011
Brandt Jobe,100,.596,48.275,49.508,-1.238,81,2011
Bubba Watson,85,.593,34.973,45.707,-10.735,59,2011
Brendon de Jonge,105,.576,53.023,27.917,25.104,92,2011
Dustin Johnson,72,.576,31.124,60.754,-29.630,54,2011
Steve Marino,76,.565,35.048,29.516,5.529,62,2011
Chad Campbell,99,.564,49.097,81.096,-32.002,87,2011
Briny Baird,60,.543,26.626,22.808,3.817,49,2011
Charley Hoffman,93,.525,38.885,57.850,-18.964,74,2011
Rod Pampling,72,.497,29.791,21.984,7.805,60,2011
Pat Perez,76,.492,34.460,18.989,15.470,70,2011
Ben Crane,76,.490,30.367,22.084,8.282,62,2011
Woody Austin,59,.487,24.352,22.486,1.863,50,2011
Mark Wilson,89,.477,33.413,17.124,16.288,70,2011
Andres Romero,77,.474,32.240,5.008,27.229,68,2011
Jonathan Byrd,83,.469,33.801,25.483,8.318,72,2011
Nick O'Hern,89,.462,35.125,39.366,-4.241,76,2011
Chris Couch,73,.450,30.566,3.569,26.996,68,2011
Lucas Glover,74,.442,26.947,12.536,14.407,61,2011
Chris Kirk,87,.432,33.261,48.839,-15.580,77,2011
John Merrick,71,.430,25.791,22.325,3.465,60,2011
Greg Chalmers,88,.420,33.196,-16.955,50.147,79,2011
Chez Reavie,92,.419,34.387,40.719,-6.332,82,2011
Blake Adams,116,.411,43.177,-6.720,49.894,105,2011
Retief Goosen,50,.405,16.218,6.466,9.749,40,2011
Davis Love III,70,.389,20.233,36.790,-16.557,52,2011
Billy Mayfair,94,.385,32.704,52.806,-20.104,85,2011
Jimmy Walker,79,.376,28.606,11.743,16.859,76,2011
J.J. Henry,96,.372,29.403,18.438,10.963,79,2011
Shane Bertsch,62,.367,19.061,11.454,7.603,52,2011
Scott Piercy,78,.346,21.785,6.544,15.240,63,2011
Trevor Immelman,84,.333,22.300,2.422,19.875,67,2011
Charlie Wi,83,.305,23.513,-38.692,62.204,77,2011
D.A. Points,89,.297,21.995,5.227,16.766,74,2011
Hunter Haas,96,.282,23.969,-6.947,30.913,85,2011
Aron Price,58,.280,13.717,9.125,4.591,49,2011
Keegan Bradley,91,.279,21.455,20.924,.528,77,2011
Tommy Gainey,104,.270,24.613,14.417,10.192,91,2011
Y.E. Yang,63,.270,11.358,.124,11.232,42,2011
Padraig Harrington,60,.245,11.010,.322,10.685,45,2011
Cameron Tringale,110,.239,23.215,4.084,19.129,97,2011
Ian Poulter,52,.238,9.300,-1.233,10.533,39,2011
Ricky Barnes,78,.224,14.333,45.066,-30.734,64,2011
David Hearn,88,.222,16.899,-.055,16.952,76,2011
Graeme McDowell,50,.197,7.304,2.430,4.874,37,2011
Jeff Overton,92,.196,14.279,3.056,11.220,73,2011
Ben Curtis,66,.190,11.799,-3.023,14.820,62,2011
Ángel Cabrera,50,.172,6.037,-11.796,17.831,35,2011
D.J. Trahan,91,.169,14.035,81.698,-67.666,83,2011
William McGirt,103,.162,14.889,-2.145,17.030,92,2011
Ernie Els,71,.160,9.428,51.033,-41.606,59,2011
Kris Blanks,92,.152,12.652,49.176,-36.524,83,2011
Robert Garrigus,83,.139,9.570,36.071,-26.499,69,2011
Tim Herron,85,.122,9.394,-2.040,11.431,77,2011
David Mathis,83,.095,6.637,-8.392,15.023,70,2011
Camilo Villegas,69,.091,5.159,16.211,-11.053,57,2011
Josh Teater,104,.085,7.797,16.006,-8.210,92,2011
Vaughn Taylor,89,.077,6.376,-6.326,12.699,83,2011
Bill Lunde,92,.060,4.610,4.370,.239,77,2011
Scott Stallings,84,.059,4.056,14.706,-10.651,69,2011
Chris Stroud,88,.057,4.414,16.521,-12.110,78,2011
Johnson Wagner,81,.057,4.010,-25.900,29.910,70,2011
Marc Leishman,87,.026,2.046,9.985,-7.943,80,2011
George McNeill,69,-.002,-.132,.932,-1.067,58,2011
Brendan Steele,89,-.006,-.453,4.172,-4.624,77,2011
Paul Stankowski,78,-.020,-1.331,-22.393,21.060,65,2011
Chris DiMarco,93,-.021,-1.757,10.116,-11.876,82,2011
Heath Slocum,89,-.036,-2.651,33.838,-36.491,74,2011
Michael Thompson,79,-.052,-3.563,-34.462,30.897,69,2011
Anthony Kim,72,-.071,-4.144,-17.994,13.848,58,2011
Matt McQuillan,59,-.084,-4.041,-24.950,20.905,48,2011
Michael Bradley,74,-.086,-5.059,6.479,-11.540,59,2011
Sean O'Hair,71,-.089,-5.352,9.810,-15.165,60,2011
Chris Riley,76,-.091,-6.171,13.651,-19.826,68,2011
Justin Leonard,82,-.099,-7.322,.823,-8.148,74,2011
Jim Renner,65,-.111,-5.893,-13.808,7.912,53,2011
Ryuji Imada,83,-.117,-8.863,3.074,-11.936,76,2011
Tim Petrovic,88,-.119,-9.179,-22.805,13.623,77,2011
Ryan Palmer,82,-.125,-7.483,-4.674,-2.812,60,2011
Alex Cejka,59,-.138,-6.483,24.770,-31.253,47,2011
Jason Bohn,74,-.144,-9.640,-5.051,-4.592,67,2011
Troy Matteson,91,-.162,-13.144,-1.018,-12.127,81,2011
Michael Putnam,67,-.162,-8.576,-31.000,22.422,53,2011
Jhonattan Vegas,84,-.172,-12.010,10.026,-22.038,70,2011
Kent Jones,76,-.177,-11.878,-13.735,1.854,67,2011
Jim Herman,69,-.180,-10.244,9.383,-19.628,57,2011
Sung Kang,63,-.184,-9.383,-7.269,-2.117,51,2011
Billy Horschel,75,-.192,-11.918,-10.438,-1.480,62,2011
James Driscoll,71,-.209,-12.753,-11.227,-1.527,61,2011
Kevin Stadler,88,-.218,-15.920,15.156,-31.076,73,2011
Dean Wilson,62,-.220,-12.528,-40.571,28.040,57,2011
Joe Durant,71,-.233,-14.884,40.246,-55.134,64,2011
Tag Ridings,87,-.237,-17.529,-22.377,4.847,74,2011
Steve Flesch,88,-.255,-19.868,-44.853,24.983,78,2011
Stephen Ames,69,-.262,-15.714,-16.411,.697,60,2011
Harrison Frazar,58,-.266,-11.154,5.066,-16.218,42,2011
Steven Bowditch,86,-.267,-20.860,-33.444,12.580,78,2011
Ben Martin,74,-.275,-17.904,-44.274,26.366,65,2011
Garrett Willis,71,-.278,-17.806,-15.810,-1.998,64,2011
Boo Weekley,66,-.282,-16.100,46.621,-62.721,57,2011
Joe Ogilvie,75,-.306,-18.692,-28.854,10.160,61,2011
Kevin Chappell,78,-.314,-19.175,11.378,-30.551,61,2011
Steve Elkington,50,-.340,-14.291,-27.406,13.115,42,2011
Scott McCarron,65,-.347,-18.746,-46.787,28.038,54,2011
Marc Turnesa,54,-.365,-16.811,-26.893,10.079,46,2011
Alexandre Rocha,65,-.375,-18.365,-18.342,-.026,49,2011
Matt Jones,71,-.377,-24.140,-24.245,.099,64,2011
Nathan Green,81,-.394,-27.574,-35.101,7.525,70,2011
Arjun Atwal,91,-.409,-33.930,-37.603,3.672,83,2011
Michael Connell,76,-.425,-30.570,-23.575,-6.998,72,2011
Lee Janzen,62,-.443,-22.127,-30.652,8.521,50,2011
Joseph Bramlett,73,-.470,-28.690,6.764,-35.456,61,2011
Roland Thatcher,67,-.491,-29.942,-41.806,11.862,61,2011
J.P. Hayes,56,-.528,-25.348,-26.516,1.168,48,2011
Tom Gillis,55,-.573,-28.645,-6.837,-21.808,50,2011
Shaun Micheel,77,-.575,-37.377,-46.370,8.991,65,2011
Paul Goydos,81,-.594,-43.948,2.539,-46.486,74,2011
Fabián Gómez,84,-.602,-41.555,-33.452,-8.103,69,2011
Andres Gonzales,60,-.652,-29.998,-36.571,6.569,46,2011
Cameron Beckman,71,-.653,-41.784,-34.645,-7.141,64,2011
Stuart Appleby,65,-.663,-39.796,-28.752,-11.048,60,2011
Scott Gutschewski,67,-.667,-36.688,-1.620,-35.071,55,2011
Colt Knost,80,-.667,-44.709,-62.855,18.143,67,2011
Matt Bettencourt,84,-.766,-58.977,-65.074,6.094,77,2011
David Duval,67,-.801,-46.472,-25.360,-21.113,58,2011
Jarrod Lyle,83,-.820,-59.013,-47.278,-11.737,72,2011
Bio Kim,71,-.854,-49.517,-51.407,1.889,58,2011
Nate Smith,66,-.883,-46.788,-68.549,21.759,53,2011
Bobby Gates,82,-.898,-60.142,-29.845,-30.298,67,2011
Kevin Kisner,70,-.906,-51.632,-59.532,7.897,57,2011
Alex Prugh,82,-.958,-67.988,-26.640,-41.352,71,2011
Will Strickler,51,-1.000,-43.012,-55.659,12.645,43,2011
Troy Merritt,63,-1.031,-58.754,-39.737,-19.020,57,2011
Richard Johnson,64,-1.044,-56.390,-62.703,6.310,54,2011
Zack Miller,86,-1.051,-78.854,-42.610,-36.247,75,2011
D.J. Brigman,67,-1.053,-57.930,-44.462,-13.469,55,2011
Rich Beem,53,-1.281,-58.924,-31.682,-27.246,46,2011
Martin Piller,63,-1.351,-70.228,-81.071,10.840,52,2011
Derek Lamely,65,-1.383,-80.232,-61.599,-18.634,58,2011
Justin Hicks,60,-1.416,-62.300,-20.284,-42.016,44,2011
Rocco Mediate,53,-1.522,-73.034,-43.218,-29.817,48,2011
Daniel Summerhays,75,-1.581,-104.330,-85.032,-19.299,66,2011
Steve Stricker,73,1.818,101.807,77.428,24.378,56,2010
Retief Goosen,75,1.598,84.708,48.581,36.128,53,2010
Jim Furyk,76,1.564,93.844,69.521,24.324,60,2010
Luke Donald,71,1.493,79.146,32.801,46.346,53,2010
Matt Kuchar,97,1.461,109.552,62.058,47.492,75,2010
Paul Casey,64,1.411,62.098,25.839,36.258,44,2010
Ernie Els,72,1.322,72.733,54.567,18.164,55,2010
Justin Rose,78,1.195,83.677,66.643,17.031,70,2010
Bo Van Pelt,104,1.192,103.730,94.919,8.809,87,2010
Robert Allenby,76,1.156,70.505,61.855,8.646,61,2010
Padraig Harrington,57,1.063,46.756,35.145,11.609,44,2010
Phil Mickelson,76,1.001,57.079,65.598,-8.519,57,2010
Charley Hoffman,85,.995,76.610,68.472,8.138,77,2010
K.J. Choi,82,.984,60.047,56.572,3.475,61,2010
Dustin Johnson,83,.979,61.665,54.730,6.932,63,2010
J.B. Holmes,100,.936,82.360,76.407,5.953,88,2010
Bill Haas,87,.918,68.885,73.859,-4.976,75,2010
Nick Watney,91,.915,63.129,55.635,7.492,69,2010
Ben Crane,85,.862,56.913,39.197,17.712,66,2010
Adam Scott,70,.862,44.806,83.693,-38.883,52,2010
Kevin Na,94,.854,64.890,27.499,37.389,76,2010
Tim Clark,88,.832,56.586,38.331,18.255,68,2010
Stewart Cink,84,.827,53.779,40.831,12.947,65,2010
Rickie Fowler,98,.793,65.831,55.222,10.606,83,2010
Zach Johnson,93,.792,59.422,15.742,43.681,75,2010
Charles Howell III,103,.784,70.516,29.652,40.861,90,2010
Brendon de Jonge,114,.762,69.312,68.867,.443,91,2010
Vijay Singh,75,.753,42.931,85.134,-42.204,57,2010
Jason Day,82,.738,52.374,53.382,-1.008,71,2010
Dean Wilson,54,.736,34.606,-2.058,36.666,47,2010
Geoff Ogilvy,62,.735,36.761,18.213,18.547,50,2010
Freddie Jacobson,83,.722,55.574,36.890,18.684,77,2010
Rory McIlroy,54,.714,28.543,37.758,-9.214,40,2010
Bubba Watson,77,.695,46.580,51.611,-5.032,67,2010
David Toms,86,.693,48.520,30.342,18.174,70,2010
Camilo Villegas,78,.691,38.717,60.883,-22.166,56,2010
Ryan Moore,80,.687,41.888,23.473,18.414,61,2010
