Player Name,Events,Money,YTD Victories,Year
Justin Thomas,23,"$8,694,821",3,2018
Dustin Johnson,20,"$8,457,352",3,2018
Justin Rose,18,"$8,130,678",2,2018
Bryson DeChambeau,26,"$8,094,489",3,2018
Brooks Koepka,17,"$7,094,047",2,2018
Bubba Watson,24,"$5,793,748",3,2018
Tony Finau,28,"$5,620,138",,2018
Tiger Woods,18,"$5,443,841",1,2018
Webb Simpson,26,"$5,376,417",1,2018
Jason Day,20,"$5,087,461",2,2018
Francesco Molinari,20,"$5,065,842",2,2018
Patrick Reed,26,"$5,006,267",1,2018
Phil Mickelson,24,"$4,595,187",1,2018
Rory McIlroy,18,"$4,410,296",1,2018
Billy Horschel,27,"$4,315,200",1,2018
Rickie Fowler,20,"$4,235,237",,2018
Keegan Bradley,27,"$4,069,464",1,2018
Xander Schauffele,27,"$4,047,538",,2018
Jon Rahm,20,"$3,992,678",1,2018
Patrick Cantlay,23,"$3,963,962",1,2018
Tommy Fleetwood,19,"$3,935,147",,2018
Kyle Stanley,26,"$3,916,001",,2018
Marc Leishman,25,"$3,771,221",,2018
Paul Casey,20,"$3,641,771",1,2018
Cameron Smith,24,"$3,622,607",,2018
Kevin Na,26,"$3,578,316",1,2018
Patton Kizzire,29,"$3,541,151",2,2018
Aaron Wise,29,"$3,486,407",1,2018
Gary Woodland,27,"$3,108,907",1,2018
Kevin Kisner,25,"$2,972,285",,2018
Pat Perez,23,"$2,962,641",1,2018
Jordan Spieth,23,"$2,793,536",,2018
Chesson Hadley,30,"$2,768,863",,2018
Brian Harman,25,"$2,733,463",,2018
Ian Poulter,20,"$2,714,450",1,2018
Luke List,29,"$2,710,736",,2018
Chez Reavie,28,"$2,700,018",,2018
Alex Noren,18,"$2,699,150",,2018
Hideki Matsuyama,21,"$2,687,477",,2018
Henrik Stenson,16,"$2,680,487",,2018
Andrew Landry,27,"$2,642,179",1,2018
Byeong Hun An,24,"$2,599,264",,2018
Emiliano Grillo,25,"$2,493,163",,2018
Ryan Armour,32,"$2,485,203",1,2018
Rafa Cabrera Bello,20,"$2,449,869",,2018
Beau Hossler,28,"$2,449,707",,2018
Brandt Snedeker,25,"$2,448,970",1,2018
Austin Cook,29,"$2,448,920",1,2018
Andrew Putnam,28,"$2,387,382",1,2018
Brendan Steele,22,"$2,291,128",1,2018
Si Woo Kim,31,"$2,276,114",,2018
Adam Scott,21,"$2,237,641",,2018
Charles Howell III,28,"$2,179,725",,2018
Brian Gay,30,"$2,152,501",,2018
Jimmy Walker,23,"$2,027,312",,2018
Ryan Moore,22,"$1,986,608",,2018
J.J. Spaun,27,"$1,978,906",,2018
"Ted Potter, Jr.",28,"$1,976,198",1,2018
Zach Johnson,25,"$1,957,635",,2018
Tyrrell Hatton,16,"$1,943,360",,2018
Adam Hadwin,25,"$1,932,488",,2018
Whee Kim,30,"$1,920,340",,2018
Stewart Cink,25,"$1,887,208",,2018
Scott Piercy,26,"$1,882,337",1,2018
C.T. Pan,30,"$1,881,787",,2018
Chris Kirk,29,"$1,824,111",,2018
Peter Uihlein,26,"$1,797,715",,2018
Jason Kokrak,29,"$1,794,431",,2018
Louis Oosthuizen,17,"$1,731,493",,2018
Daniel Berger,23,"$1,721,763",,2018
Matt Kuchar,24,"$1,720,097",,2018
Charl Schwartzel,20,"$1,710,179",,2018
Abraham Ancer,30,"$1,676,695",,2018
Keith Mitchell,29,"$1,641,260",,2018
Kevin Chappell,23,"$1,608,338",,2018
J.B. Holmes,24,"$1,595,942",,2018
Branden Grace,18,"$1,529,289",,2018
Kevin Streelman,27,"$1,523,642",,2018
Russell Henley,23,"$1,516,438",,2018
Jason Dufner,22,"$1,497,655",,2018
Kelly Kraft,31,"$1,496,253",,2018
Ryan Palmer,22,"$1,484,445",,2018
Joel Dahmen,28,"$1,476,838",,2018
Satoshi Kodaira,18,"$1,471,462",1,2018
Brice Garnett,30,"$1,466,224",1,2018
Anirban Lahiri,24,"$1,441,205",,2018
Russell Knox,27,"$1,424,030",,2018
Nick Watney,26,"$1,402,833",,2018
Charley Hoffman,25,"$1,400,637",,2018
James Hahn,26,"$1,386,301",,2018
Michael Kim,27,"$1,379,736",1,2018
Kevin Tway,31,"$1,379,544",,2018
Jamie Lovemark,26,"$1,377,286",,2018
Tom Hoge,31,"$1,358,542",,2018
Troy Merritt,27,"$1,326,989",1,2018
Ollie Schniederjans,27,"$1,303,610",,2018
Patrick Rodgers,30,"$1,287,040",,2018
Danny Lee,30,"$1,269,386",,2018
Sung Kang,29,"$1,243,309",,2018
Harold Varner III,27,"$1,223,064",,2018
Alex Cejka,24,"$1,198,541",,2018
Trey Mullinax,24,"$1,184,245",,2018
Bronson Burgoon,24,"$1,179,616",,2018
Brandon Harkins,30,"$1,148,115",,2018
Scott Stallings,30,"$1,147,573",,2018
Jhonattan Vegas,27,"$1,137,444",,2018
Rory Sabbatini,27,"$1,126,057",,2018
Sean O'Hair,22,"$1,104,865",,2018
Brian Stuard,32,"$1,089,763",,2018
Richy Werenski,32,"$1,081,283",,2018
Scott Brown,32,"$1,076,678",,2018
Grayson Murray,22,"$1,056,628",,2018
Sam Ryder,26,"$1,046,166",,2018
Martin Laird,22,"$1,017,580",,2018
Sam Saunders,26,"$981,936",,2018
Ryan Blaum,28,"$980,877",,2018
John Huh,29,"$974,538",,2018
Vaughn Taylor,25,"$965,691",,2018
Tyler Duncan,31,"$944,021",,2018
J.T. Poston,22,"$940,661",,2018
William McGirt,26,"$933,327",,2018
Bud Cauley,17,"$900,591",,2018
Nick Taylor,30,"$899,373",,2018
Sergio Garcia,15,"$878,354",,2018
Martin Piller,28,"$847,304",,2018
Thomas Pieters,11,"$813,227",,2018
Chad Campbell,28,"$801,960",,2018
Harris English,31,"$799,450",,2018
Ben Silverman,28,"$793,140",,2018
Seamus Power,28,"$791,018",,2018
Lucas Glover,18,"$789,382",,2018
Tyrone Van Aswegen,31,"$763,584",,2018
Corey Conners,28,"$728,296",,2018
Aaron Baddeley,27,"$725,928",,2018
Derek Fathauer,28,"$708,712",,2018
Robert Garrigus,27,"$702,030",,2018
Tom Lovelady,28,"$700,783",,2018
Shane Lowry,19,"$696,897",,2018
Jim Furyk,15,"$660,010",,2018
Johnson Wagner,21,"$656,322",,2018
Talor Gooch,27,"$654,200",,2018
Bill Haas,25,"$638,414",,2018
David Hearn,21,"$622,383",,2018
Ben Crane,21,"$620,646",,2018
David Lingmerth,26,"$616,758",,2018
Nicholas Lindheim,26,"$593,842",,2018
Steve Stricker,12,"$582,566",,2018
Graeme McDowell,20,"$581,024",,2018
Hudson Swafford,22,"$569,391",,2018
Chris Stroud,27,"$565,466",,2018
Michael Thompson,19,"$563,972",,2018
Retief Goosen,20,"$545,364",,2018
Matt Jones,23,"$538,681",,2018
Ben Martin,20,"$532,936",,2018
Shawn Stefani,25,"$523,204",,2018
Mackenzie Hughes,28,"$518,476",,2018
Denny McCarthy,22,"$498,341",,2018
Wesley Bryan,23,"$498,166",,2018
J.J. Henry,28,"$482,052",,2018
Adam Schenk,28,"$474,923",,2018
Hunter Mahan,21,"$457,337",,2018
Jonathan Randolph,25,"$453,328",,2018
Martin Flores,29,"$449,266",,2018
Fabián Gómez,28,"$437,032",,2018
Stephan Jaeger,26,"$422,260",,2018
Xinjun Zhang,28,"$420,377",,2018
Peter Malnati,28,"$420,001",,2018
Ross Fisher,13,"$412,954",,2018
Robert Streb,29,"$411,606",,2018
Blayne Barber,22,"$398,137",,2018
Dominic Bozzelli,20,"$391,634",,2018
Cameron Percy,16,"$387,612",,2018
D.A. Points,25,"$377,265",,2018
Jonas Blixt,23,"$368,518",,2018
Ethan Tracy,23,"$364,493",,2018
Lanto Griffin,26,"$358,380",,2018
Ricky Barnes,22,"$340,591",,2018
Zac Blair,20,"$330,507",,2018
Steve Wheatcroft,20,"$309,656",,2018
Brett Stegmaier,21,"$305,607",,2018
Cody Gribble,25,"$302,593",,2018
Matt Every,30,"$299,162",,2018
Nate Lashley,17,"$296,650",,2018
Greg Chalmers,20,"$288,023",,2018
Rob Oppenheim,26,"$279,019",,2018
Jonathan Byrd,24,"$267,055",,2018
Graham DeLaet,3,"$251,630",,2018
Roberto Díaz,25,"$235,635",,2018
Daniel Summerhays,19,"$234,510",,2018
Camilo Villegas,14,"$229,439",,2018
K.J. Choi,14,"$219,405",,2018
Tim Herron,12,"$209,216",,2018
Andres Romero,6,"$206,764",,2018
Smylie Kaufman,22,"$201,136",,2018
Conrad Shindler,20,"$187,399",,2018
Sangmoon Bae,17,"$184,057",,2018
Rod Pampling,20,"$183,806",,2018
Cameron Tringale,26,"$179,459",,2018
Stuart Appleby,12,"$175,235",,2018
Parker McLachlin,11,"$174,039",,2018
Morgan Hoffmann,9,"$170,673",,2018
Billy Hurley III,27,"$145,725",,2018
Bernhard Langer,2,"$130,200",,2018
John Merrick,11,"$119,407",,2018
Martin Kaymer,11,"$115,379",,2018
Brendon de Jonge,14,"$110,276",,2018
Jerry Kelly,3,"$108,500",,2018
Ernie Els,15,"$102,868",,2018
Davis Love III,12,"$97,920",,2018
Vijay Singh,10,"$95,334",,2018
Geoff Ogilvy,18,"$93,947",,2018
Padraig Harrington,16,"$93,260",,2018
George McNeill,10,"$91,100",,2018
Zecheng Dou,23,"$90,993",,2018
Matt Atkins,21,"$89,104",,2018
D.J. Trahan,8,"$85,595",,2018
Ken Duke,15,"$82,161",,2018
Luke Donald,9,"$81,989",,2018
Brandon Hagy,3,"$76,817",,2018
Steve Marino,6,"$76,616",,2018
Eric Axley,7,"$69,125",,2018
John Senden,7,"$68,604",,2018
Brian Davis,12,"$60,851",,2018
Jim Herman,9,"$46,962",,2018
Fred Couples,1,"$46,200",,2018
Seung-Yul Noh,1,"$44,516",,2018
Jason Bohn,9,"$43,620",,2018
Colt Knost,10,"$43,134",,2018
Dicky Pride,11,"$42,810",,2018
Andrew Yun,22,"$41,566",,2018
Tommy Gainey,10,"$39,508",,2018
Troy Matteson,7,"$39,000",,2018
Heath Slocum,5,"$37,814",,2018
Mark Wilson,11,"$33,348",,2018
Kyle Thompson,22,"$24,878",,2018
Andrew Johnston,2,"$24,448",,2018
Charlie Beljan,9,"$21,344",,2018
Omar Uresti,10,"$21,278",,2018
Ángel Cabrera,5,"$20,353",,2018
Derek Ernst,3,"$20,353",,2018
Robert Allenby,8,"$19,970",,2018
Kris Blanks,6,"$18,998",,2018
John Daly,7,"$18,362",,2018
Paul Goydos,1,"$18,067",,2018
John Rollins,9,"$15,598",,2018
Bob Estes,8,"$15,431",,2018
Rick Lamb,10,"$14,136",,2018
Chris Couch,5,"$13,000",,2018
Cameron Beckman,6,"$12,694",,2018
Arjun Atwal,6,"$12,006",,2018
Charlie Wi,6,"$10,878",,2018
Daniel Chopra,6,"$8,784",,2018
Jay Don Blake,1,"$7,595",,2018
Michael Bradley,1,"$7,595",,2018
Olin Browne,1,"$7,385",,2018
Jonathan Kaye,3,"$7,004",,2018
Neal Lancaster,1,"$6,930",,2018
Shaun Micheel,4,"$6,930",,2018
Mike Weir,6,"$5,760",,2018
Trevor Immelman,2,"$5,520",,2018
Justin Thomas,25,"$9,921,560",5,2017
Jordan Spieth,23,"$9,433,033",3,2017
Dustin Johnson,20,"$8,732,193",4,2017
Hideki Matsuyama,22,"$8,380,570",3,2017
Jon Rahm,23,"$6,123,248",1,2017
Rickie Fowler,21,"$6,083,197",1,2017
Marc Leishman,25,"$5,866,391",2,2017
Brooks Koepka,24,"$5,612,397",1,2017
Kevin Kisner,28,"$4,766,936",1,2017
Brian Harman,30,"$4,396,470",1,2017
Pat Perez,26,"$4,361,400",1,2017
Xander Schauffele,28,"$4,312,674",2,2017
Daniel Berger,26,"$4,287,161",1,2017
Matt Kuchar,26,"$4,282,489",,2017
Justin Rose,18,"$4,245,308",,2017
Charley Hoffman,31,"$4,161,008",,2017
Paul Casey,24,"$3,906,974",,2017
Sergio Garcia,17,"$3,522,476",1,2017
Adam Hadwin,28,"$3,455,012",1,2017
Russell Henley,27,"$3,413,876",1,2017
Kyle Stanley,29,"$3,402,106",1,2017
Jason Dufner,24,"$3,310,341",1,2017
Webb Simpson,28,"$3,209,646",,2017
Kevin Chappell,27,"$3,149,615",1,2017
Louis Oosthuizen,18,"$3,105,422",,2017
Patrick Reed,29,"$3,055,111",,2017
Gary Woodland,26,"$2,980,225",,2017
Jason Day,20,"$2,978,181",,2017
Jhonattan Vegas,29,"$2,944,738",1,2017
Brendan Steele,25,"$2,907,095",1,2017
Francesco Molinari,21,"$2,875,850",,2017
Bill Haas,25,"$2,842,173",,2017
Tony Finau,29,"$2,838,629",,2017
Henrik Stenson,15,"$2,769,771",1,2017
Billy Horschel,28,"$2,697,960",1,2017
Si Woo Kim,30,"$2,681,177",1,2017
Charles Howell III,23,"$2,606,383",,2017
Wesley Bryan,28,"$2,495,751",1,2017
Rory McIlroy,14,"$2,430,182",,2017
Zach Johnson,23,"$2,362,968",,2017
Mackenzie Hughes,31,"$2,355,553",1,2017
Hudson Swafford,28,"$2,246,090",1,2017
Charl Schwartzel,18,"$2,156,036",,2017
Cameron Smith,26,"$2,123,216",1,2017
Phil Mickelson,22,"$2,102,599",,2017
Ian Poulter,20,"$2,098,346",,2017
Patrick Cantlay,13,"$2,049,632",,2017
Lucas Glover,26,"$1,955,822",,2017
Anirban Lahiri,22,"$1,944,289",,2017
Sung Kang,32,"$1,943,309",,2017
Keegan Bradley,29,"$1,940,478",,2017
Ollie Schniederjans,28,"$1,935,669",,2017
Rafa Cabrera Bello,19,"$1,934,675",,2017
Jamie Lovemark,28,"$1,886,972",,2017
Sean O'Hair,25,"$1,873,856",,2017
James Hahn,28,"$1,841,314",,2017
Chez Reavie,28,"$1,819,207",,2017
Bryson DeChambeau,31,"$1,817,054",1,2017
Luke List,31,"$1,813,219",,2017
Martin Laird,25,"$1,759,706",,2017
Ryan Moore,24,"$1,751,851",,2017
Scott Brown,29,"$1,748,324",,2017
Kevin Na,26,"$1,728,351",,2017
Adam Scott,16,"$1,695,144",,2017
Russell Knox,24,"$1,643,924",,2017
Kelly Kraft,27,"$1,638,045",,2017
Brandt Snedeker,15,"$1,625,806",,2017
Danny Lee,32,"$1,611,331",,2017
Graham DeLaet,25,"$1,603,666",,2017
Robert Streb,30,"$1,588,287",,2017
Emiliano Grillo,25,"$1,567,015",,2017
Bud Cauley,28,"$1,553,685",,2017
Rod Pampling,22,"$1,539,422",1,2017
Kevin Tway,27,"$1,472,613",,2017
Grayson Murray,30,"$1,468,728",1,2017
Stewart Cink,26,"$1,463,922",,2017
Jonas Blixt,25,"$1,408,288",1,2017
J.B. Holmes,23,"$1,353,584",,2017
Patrick Rodgers,27,"$1,346,322",,2017
Chad Campbell,29,"$1,329,941",,2017
Scott Piercy,22,"$1,317,452",,2017
Branden Grace,20,"$1,315,054",,2017
Kevin Streelman,26,"$1,313,327",,2017
Chris Stroud,22,"$1,308,445",1,2017
Cody Gribble,28,"$1,305,554",1,2017
Morgan Hoffmann,29,"$1,278,568",,2017
C.T. Pan,29,"$1,267,649",,2017
Nick Taylor,29,"$1,255,259",,2017
Byeong Hun An,22,"$1,236,090",,2017
William McGirt,28,"$1,225,005",,2017
Bubba Watson,22,"$1,223,129",,2017
Chris Kirk,28,"$1,216,047",,2017
Jim Herman,25,"$1,205,632",,2017
Jason Kokrak,28,"$1,173,708",,2017
Whee Kim,27,"$1,125,368",,2017
J.J. Spaun,29,"$1,122,611",,2017
Patton Kizzire,28,"$1,110,395",,2017
Jimmy Walker,21,"$1,101,162",,2017
Seung-Yul Noh,31,"$1,080,706",,2017
David Lingmerth,23,"$1,070,754",,2017
Michael Kim,28,"$1,018,204",,2017
Steve Stricker,13,"$1,002,036",,2017
Camilo Villegas,25,"$971,420",,2017
Ryan Blaum,29,"$962,768",,2017
Luke Donald,18,"$958,850",,2017
Scott Stallings,27,"$955,337",,2017
Brian Gay,25,"$942,372",,2017
Harold Varner III,31,"$918,779",,2017
Derek Fathauer,27,"$898,491",,2017
D.A. Points,22,"$893,700",1,2017
Richy Werenski,26,"$890,262",,2017
Robert Garrigus,26,"$880,905",,2017
Dominic Bozzelli,24,"$868,519",,2017
Geoff Ogilvy,25,"$867,249",,2017
Harris English,27,"$864,959",,2017
Brandon Hagy,26,"$861,227",,2017
Ben Martin,27,"$850,319",,2017
Shane Lowry,16,"$831,411",,2017
Martin Flores,27,"$830,057",,2017
Daniel Summerhays,29,"$826,124",,2017
Nick Watney,23,"$824,162",,2017
Blayne Barber,25,"$823,082",,2017
Tyrone Van Aswegen,32,"$806,410",,2017
David Hearn,29,"$800,710",,2017
Vaughn Taylor,26,"$797,385",,2017
Cameron Tringale,28,"$792,814",,2017
Zac Blair,32,"$788,352",,2017
Smylie Kaufman,26,"$784,758",,2017
Ryan Palmer,20,"$772,560",,2017
John Huh,28,"$767,575",,2017
Trey Mullinax,28,"$758,141",,2017
Aaron Baddeley,20,"$755,356",,2017
Rory Sabbatini,23,"$741,617",,2017
Greg Owen,17,"$738,711",,2017
J.J. Henry,29,"$734,874",,2017
Søren Kjeldsen,17,"$722,913",,2017
Billy Hurley III,25,"$719,579",,2017
Ricky Barnes,31,"$697,624",,2017
Chad Collins,26,"$693,743",,2017
Johnson Wagner,26,"$685,306",,2017
Sam Saunders,24,"$678,117",,2017
J.T. Poston,28,"$662,565",,2017
Seamus Power,25,"$646,180",,2017
Graeme McDowell,17,"$639,770",,2017
Cameron Percy,23,"$623,694",,2017
Ben Crane,26,"$618,483",,2017
Alex Cejka,28,"$618,171",,2017
Brian Stuard,31,"$588,806",,2017
Troy Merritt,28,"$569,682",,2017
Michael Thompson,21,"$568,991",,2017
Sebastián Muñoz,17,"$563,900",,2017
Jim Furyk,18,"$558,097",,2017
Rick Lamb,19,"$524,372",,2017
Jonathan Randolph,22,"$511,032",,2017
Matt Jones,20,"$510,622",,2017
Tag Ridings,20,"$489,927",,2017
Spencer Levin,31,"$469,730",,2017
Kyle Reifers,32,"$454,570",,2017
Julián Etulain,22,"$448,214",,2017
Ryan Armour,20,"$443,006",,2017
Andres Gonzales,24,"$422,078",,2017
Boo Weekley,27,"$416,929",,2017
Retief Goosen,19,"$414,363",,2017
Tim Wilkinson,22,"$411,459",,2017
Shawn Stefani,26,"$404,377",,2017
Ryan Brehm,25,"$396,258",,2017
Tom Hoge,17,"$373,092",,2017
Roberto Castro,25,"$367,362",,2017
Peter Malnati,29,"$358,541",,2017
Matt Every,30,"$351,412",,2017
Joel Dahmen,16,"$344,824",,2017
Greg Chalmers,28,"$344,631",,2017
Vijay Singh,18,"$337,305",,2017
Fabián Gómez,21,"$332,352",,2017
John Peterson,15,"$329,705",,2017
Jonathan Byrd,9,"$328,337",,2017
Ryo Ishikawa,20,"$319,748",,2017
Steve Wheatcroft,17,"$309,518",,2017
Andrew Johnston,13,"$293,233",,2017
K.J. Choi,25,"$292,716",,2017
Hunter Mahan,26,"$277,235",,2017
Andrew Loupe,21,"$273,070",,2017
Will MacKenzie,16,"$272,288",,2017
Brett Stegmaier,27,"$271,031",,2017
Mark Hubbard,27,"$267,968",,2017
Gonzalo Fernandez-Castaño,22,"$258,162",,2017
Davis Love III,13,"$257,270",,2017
Brian Campbell,20,"$237,537",,2017
Bill Lunde,8,"$233,984",,2017
Ken Duke,26,"$225,907",,2017
Steven Alker,23,"$218,681",,2017
Danny Willett,11,"$217,975",,2017
Bryce Molder,26,"$216,892",,2017
Ángel Cabrera,16,"$210,479",,2017
Stuart Appleby,16,"$206,607",,2017
Andres Romero,10,"$196,518",,2017
Mark Anderson,20,"$188,806",,2017
Miguel Angel Carballo,22,"$186,623",,2017
Brett Drewitt,19,"$184,388",,2017
Hiroshi Iwata,10,"$179,133",,2017
Nicholas Lindheim,21,"$175,107",,2017
Padraig Harrington,11,"$171,407",,2017
Brad Fritsch,18,"$166,440",,2017
Jason Bohn,28,"$165,910",,2017
Dicky Pride,7,"$165,022",,2017
Carl Pettersson,27,"$164,621",,2017
Ernie Els,20,"$155,926",,2017
Fred Couples,1,"$148,500",,2017
Willy Wilcox,14,"$137,567",,2017
Jason Gore,5,"$133,125",,2017
Jon Curran,11,"$128,092",,2017
John Senden,14,"$104,044",,2017
Mark Wilson,15,"$100,286",,2017
Steve Marino,15,"$98,573",,2017
Chesson Hadley,8,"$82,208",,2017
Bob Estes,15,"$76,930",,2017
John Merrick,9,"$74,648",,2017
Tyler Aldridge,14,"$67,722",,2017
Y.E. Yang,9,"$67,091",,2017
Charlie Wi,6,"$65,613",,2017
Freddie Jacobson,9,"$61,129",,2017
Jerry Kelly,7,"$59,856",,2017
Brendon de Jonge,14,"$54,273",,2017
Craig Barlow,3,"$53,426",,2017
Arjun Atwal,6,"$40,799",,2017
Zack Sucher,14,"$35,135",,2017
Bobby Wyatt,20,"$33,139",,2017
Robert Allenby,4,"$32,851",,2017
"Ted Potter, Jr.",2,"$31,284",,2017
Tim Herron,8,"$29,857",,2017
Larry Mize,1,"$27,720",,2017
Steven Bowditch,27,"$24,650",,2017
Tommy Gainey,8,"$23,717",,2017
Omar Uresti,2,"$19,250",,2017
Max Homa,17,"$18,008",,2017
Shane Bertsch,9,"$15,328",,2017
D.J. Trahan,5,"$15,155",,2017
Brendon Todd,9,"$14,925",,2017
Charlie Beljan,8,"$13,869",,2017
Justin Leonard,1,"$13,702",,2017
Colt Knost,5,"$13,580",,2017
Michael Bradley,3,"$13,514",,2017
Troy Matteson,4,"$12,376",,2017
Fred Funk,1,"$11,280",,2017
George McNeill,7,"$9,984",,2017
Tim Petrovic,2,"$9,984",,2017
David Toms,3,"$9,984",,2017
Eric Axley,4,"$9,198",,2017
John Rollins,6,"$8,736",,2017
Peter Lonard,1,"$7,524",,2017
Chris Smith,2,"$6,755",,2017
Shaun Micheel,3,"$6,300",,2017
Dustin Johnson,22,"$9,365,185",3,2016
Jason Day,20,"$8,045,112",3,2016
Adam Scott,20,"$6,473,090",2,2016
Rory McIlroy,18,"$5,790,585",2,2016
Patrick Reed,28,"$5,679,575",1,2016
Jordan Spieth,21,"$5,538,470",2,2016
Russell Knox,25,"$4,885,906",2,2016
Kevin Chappell,27,"$4,501,050",,2016
Hideki Matsuyama,23,"$4,193,954",1,2016
Jimmy Walker,25,"$4,148,546",1,2016
Justin Thomas,28,"$4,126,366",1,2016
Phil Mickelson,22,"$4,022,628",,2016
Brandt Snedeker,27,"$3,960,142",1,2016
Paul Casey,22,"$3,885,560",,2016
Matt Kuchar,26,"$3,819,678",,2016
Ryan Moore,23,"$3,701,034",1,2016
William McGirt,28,"$3,614,972",1,2016
Bubba Watson,19,"$3,492,842",1,2016
Kevin Na,26,"$3,441,291",,2016
Kevin Kisner,27,"$3,424,354",1,2016
Henrik Stenson,14,"$3,397,373",1,2016
Emiliano Grillo,25,"$3,371,705",1,2016
Brooks Koepka,21,"$3,322,393",,2016
Daniel Berger,26,"$3,290,764",1,2016
Sergio Garcia,15,"$3,242,156",1,2016
Si Woo Kim,34,"$3,086,369",1,2016
J.B. Holmes,22,"$2,969,608",,2016
Charl Schwartzel,19,"$2,936,027",1,2016
Scott Piercy,24,"$2,905,349",,2016
Jason Dufner,28,"$2,879,884",1,2016
Branden Grace,18,"$2,878,868",1,2016
Rickie Fowler,23,"$2,713,563",,2016
Graeme McDowell,21,"$2,596,170",1,2016
Roberto Castro,27,"$2,520,574",,2016
Smylie Kaufman,28,"$2,508,174",1,2016
Jhonattan Vegas,27,"$2,478,980",1,2016
Louis Oosthuizen,17,"$2,422,079",,2016
Gary Woodland,26,"$2,392,044",,2016
Bill Haas,24,"$2,390,199",,2016
James Hahn,26,"$2,367,521",1,2016
Charley Hoffman,26,"$2,350,239",1,2016
Fabián Gómez,26,"$2,227,040",1,2016
Jim Herman,29,"$2,091,274",1,2016
Justin Rose,18,"$2,085,365",,2016
Daniel Summerhays,28,"$2,045,968",,2016
Harris English,27,"$2,014,283",,2016
Charles Howell III,25,"$1,974,962",,2016
Jamie Lovemark,27,"$1,940,890",,2016
Danny Willett,9,"$1,938,132",1,2016
Jason Kokrak,28,"$1,934,250",,2016
Jon Curran,30,"$1,902,481",,2016
David Lingmerth,24,"$1,863,783",,2016
Tony Finau,28,"$1,814,790",1,2016
Ryan Palmer,23,"$1,794,141",,2016
Billy Hurley III,20,"$1,770,400",1,2016
Chris Kirk,28,"$1,762,335",,2016
Billy Horschel,20,"$1,744,571",,2016
Zach Johnson,24,"$1,718,703",,2016
Sean O'Hair,27,"$1,702,713",,2016
Brian Stuard,20,"$1,666,014",1,2016
Aaron Baddeley,28,"$1,644,915",1,2016
Vaughn Taylor,24,"$1,640,750",1,2016
Luke Donald,23,"$1,634,515",,2016
Kevin Streelman,26,"$1,601,177",,2016
Colt Knost,26,"$1,594,587",,2016
Brendan Steele,25,"$1,589,266",,2016
Shane Lowry,17,"$1,585,436",,2016
Marc Leishman,25,"$1,566,824",,2016
Alex Cejka,22,"$1,566,308",,2016
Kyle Reifers,34,"$1,539,578",,2016
Jim Furyk,14,"$1,538,204",,2016
Patton Kizzire,27,"$1,468,624",,2016
Webb Simpson,20,"$1,450,355",,2016
Steve Stricker,15,"$1,418,647",,2016
Danny Lee,28,"$1,405,722",,2016
Jason Bohn,21,"$1,369,705",,2016
Freddie Jacobson,26,"$1,354,196",,2016
Bryce Molder,26,"$1,353,385",,2016
Jerry Kelly,23,"$1,328,657",,2016
K.J. Choi,22,"$1,328,448",,2016
Harold Varner III,28,"$1,327,320",,2016
Brian Harman,31,"$1,299,801",,2016
Peter Malnati,32,"$1,298,945",1,2016
Patrick Rodgers,28,"$1,290,336",,2016
Russell Henley,25,"$1,228,347",,2016
Martin Laird,24,"$1,224,680",,2016
David Hearn,29,"$1,211,514",,2016
Vijay Singh,22,"$1,210,104",,2016
Ben Martin,28,"$1,205,730",,2016
Spencer Levin,32,"$1,179,882",,2016
Chad Campbell,28,"$1,168,073",,2016
Ricky Barnes,29,"$1,158,800",,2016
Scott Brown,27,"$1,143,452",,2016
Jonas Blixt,26,"$1,115,322",,2016
Chez Reavie,27,"$1,086,964",,2016
Brett Stegmaier,29,"$1,086,714",,2016
Johnson Wagner,26,"$1,083,787",,2016
Francesco Molinari,18,"$1,083,155",,2016
Andrew Loupe,27,"$1,075,276",,2016
Adam Hadwin,27,"$1,067,809",,2016
Cameron Tringale,25,"$1,064,066",,2016
Hudson Swafford,30,"$1,027,314",,2016
Tyrone Van Aswegen,31,"$1,025,632",,2016
Robert Garrigus,21,"$1,024,900",,2016
John Huh,28,"$1,007,219",,2016
Jon Rahm,9,"$1,004,035",,2016
Robert Streb,27,"$1,003,363",,2016
Boo Weekley,26,"$991,660",,2016
John Senden,28,"$989,841",,2016
Sung Kang,29,"$979,576",,2016
Lucas Glover,23,"$948,927",,2016
Byeong Hun An,14,"$926,797",,2016
Troy Merritt,26,"$922,707",,2016
Graham DeLaet,21,"$908,557",,2016
Zac Blair,31,"$903,459",,2016
Keegan Bradley,26,"$899,985",,2016
Derek Fathauer,30,"$898,430",,2016
Anirban Lahiri,21,"$835,171",,2016
David Toms,19,"$774,522",,2016
Ken Duke,20,"$773,025",,2016
Blayne Barber,27,"$768,585",,2016
Steve Marino,24,"$768,200",,2016
Bud Cauley,14,"$760,430",,2016
Luke List,27,"$751,001",,2016
Retief Goosen,16,"$745,735",,2016
Chad Collins,26,"$734,548",,2016
Morgan Hoffmann,25,"$717,890",,2016
Matt Jones,27,"$712,723",,2016
Tim Wilkinson,22,"$708,623",,2016
Shawn Stefani,29,"$698,102",,2016
Scott Stallings,27,"$697,434",,2016
Greg Chalmers,12,"$695,188",1,2016
Whee Kim,27,"$682,662",,2016
Willy Wilcox,23,"$676,841",,2016
Michael Kim,29,"$664,539",,2016
Seung-Yul Noh,28,"$661,711",,2016
