Player Name,Rounds,Average SG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS,Year
Aaron Baddeley,94,-.294,.112,-.797,.391,88,2010
George McNeill,79,-.296,-.488,.175,.018,70,2010
Michael Bradley,77,-.310,-.676,.219,.147,68,2010
Matt Every,60,-.310,.166,-.292,-.185,51,2010
John Daly,63,-.335,.336,-.374,-.298,47,2010
Joe Ogilvie,99,-.338,-.005,-.190,-.142,86,2010
Scott McCarron,90,-.357,.093,-.529,.079,83,2010
Jeff Maggert,76,-.384,.123,-.060,-.447,63,2010
James Nitties,92,-.388,-.188,.058,-.258,81,2010
David Duval,71,-.397,-.354,.202,-.245,56,2010
Tim Herron,79,-.400,-.233,-.211,.044,69,2010
Trevor Immelman,55,-.401,-.501,.005,.095,43,2010
Roland Thatcher,72,-.408,-.061,-.095,-.253,68,2010
Henrik Bjornstad,72,-.416,-.022,.096,-.490,59,2010
Greg Chalmers,93,-.424,-.555,.060,.070,87,2010
Jeff Quinney,91,-.427,-.402,.207,-.232,80,2010
Blake Adams,84,-.432,.292,-.726,.002,75,2010
Bill Lunde,79,-.461,-.265,-.263,.068,67,2010
Chad Collins,87,-.483,-.660,-.116,.293,75,2010
Richard Johnson,90,-.486,-.388,.006,-.104,73,2010
Ian Poulter,55,-.542,-.109,-.655,.221,34,2010
Steve Flesch,78,-.570,-.386,-.493,.309,65,2010
Nathan Green,86,-.592,-.566,-.192,.167,81,2010
Derek Lamely,81,-.611,-.199,-.332,-.081,64,2010
Brenden Pappas,66,-.637,-.593,-.074,.030,55,2010
Rich Barcelo,70,-.668,-1.027,.228,.130,58,2010
Craig Bowden,56,-.698,-.253,-.458,.013,48,2010
David Lutterus,69,-.707,-.368,-.439,.100,56,2010
Martin Flores,75,-.776,-.223,-.553,-.001,64,2010
Ted Purdy,86,-.784,-.124,-.405,-.256,75,2010
Steve Lowery,67,-.794,.122,-.310,-.607,56,2010
Andrew McLardy,52,-.832,.079,-.536,-.375,44,2010
Steve Wheatcroft,74,-.833,.002,-.650,-.185,58,2010
Matt Bettencourt,91,-.853,.089,-.831,-.111,70,2010
Troy Merritt,86,-.954,-.177,-.450,-.326,77,2010
Chris Wilson,65,-.962,-.112,-.629,-.221,52,2010
Brian Stuard,81,-1.033,-.204,-.770,-.058,71,2010
Brent Delahoussaye,57,-1.046,-.467,-.114,-.465,47,2010
Skip Kendall,58,-1.168,-.486,-.651,-.031,49,2010
Vance Veazey,58,-1.329,-1.117,-.084,-.128,48,2010
Justin Bolli,55,-1.361,-.475,-.463,-.423,42,2010
Daniel Chopra,74,-1.461,-.307,-1.070,-.084,67,2010
Kevin Johnson,62,-1.795,-.822,-.895,-.077,49,2010
Greg Kraft,52,-1.856,-.876,-.572,-.408,39,2010
Jerod Turner,54,-1.883,-.351,-1.179,-.353,40,2010
Brad Faxon,58,-2.519,-1.343,-.622,-.553,48,2010
