Rank this week,Rank last week,Player Name,Rounds,Average,Total Distance,Total Drives,Year
T116,T116,Matt Kuchar,93,284.9,"49,573",174,2013
T119,T119,Stuart Appleby,88,284.7,"47,834",168,2013
T119,T119,J.J. Henry,83,284.7,"45,843",161,2013
121,121,Alistair Presnell,59,284.6,"32,446",114,2013
122,122,John Merrick,79,284.3,"44,918",158,2013
123,123,Jonas Blixt,76,283.7,"42,837",151,2013
T124,T124,Tim Herron,45,283.6,"25,523",90,2013
T124,T124,Trevor Immelman,73,283.6,"39,143",138,2013
T124,T124,Steve Stricker,51,283.6,"26,658",94,2013
127,127,Luke Guthrie,82,283.5,"46,490",164,2013
128,128,Chez Reavie,72,282.8,"40,721",144,2013
129,129,Rod Pampling,46,282.6,"23,736",84,2013
T130,T130,Roberto Castro,97,282.3,"54,478",193,2013
T130,T130,Ryan Moore,72,282.3,"40,093",142,2013
132,132,Charlie Wi,75,282.1,"40,061",142,2013
133,133,John Huh,88,282.0,"48,792",173,2013
T134,T134,William McGirt,75,281.8,"42,266",150,2013
T134,T134,Brian Stuard,78,281.8,"41,704",148,2013
136,136,Ian Poulter,59,281.7,"29,859",106,2013
137,137,Brandt Snedeker,79,281.3,"44,440",158,2013
138,138,D.A. Points,87,281.1,"48,905",174,2013
139,139,Ben Crane,62,281.0,"32,592",116,2013
140,140,D.H. Lee,65,280.9,"36,522",130,2013
141,141,Stephen Ames,49,280.7,"27,511",98,2013
142,142,David Mathis,71,280.6,"37,598",134,2013
143,143,Casey Wittenberg,72,280.5,"39,275",140,2013
144,144,"Ted Potter, Jr.",65,280.3,"34,194",122,2013
145,145,Doug LaBelle II,72,280.1,"39,215",140,2013
146,146,Justin Hicks,79,280.0,"42,003",150,2013
147,147,David Hearn,88,279.7,"49,231",176,2013
148,148,Michael Thompson,66,279.4,"36,878",132,2013
T149,T149,Justin Bolli,59,279.1,"30,706",110,2013
T149,T149,Richard Lee,81,279.1,"42,975",154,2013
151,151,Ben Kohles,75,279.0,"39,615",142,2013
152,152,Scott Langley,79,278.9,"41,834",150,2013
T153,T153,Brian Davis,91,278.8,"50,734",182,2013
T153,T153,Zach Johnson,84,278.8,"46,275",166,2013
155,155,Johnson Wagner,64,278.6,"33,436",120,2013
156,156,K.J. Choi,85,278.3,"46,748",168,2013
157,157,Luke Donald,60,278.1,"32,262",116,2013
